models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,2,3,7,8",0.6333333333333333,0.9,0.6363636363636364,0.5,0.56,0.625
"0,2,5,6,8",0.6333333333333333,0.6,0.6363636363636364,0.5,0.56,0.625
"0,2,6,7,8",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
"0,2,7,8,9",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
"0,3,4,5,7",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
"0,4,5,6,7",0.6333333333333333,0.6,0.6363636363636364,0.5,0.56,0.625
"1,2,3,6,8",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
"1,2,5,6,8",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
"1,3,5,6,9",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
"1,3,5,7,8",0.6333333333333333,0.8,0.6363636363636364,0.5,0.56,0.625
"0,3,5,6,9",0.6333333333333333,0.7,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"0,5,6,7,8",0.6333333333333333,0.6,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"0,5,7,8,9",0.6333333333333333,0.7,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"1,3,4,5,6",0.6333333333333333,0.6,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"1,3,6,7,8",0.6333333333333333,0.8,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"3,4,5,7,8",0.6333333333333333,0.7,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"3,4,6,7,8",0.6333333333333333,0.7,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6205357142857143
"0,1,3,4,5",0.6333333333333333,0.6,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286
"0,2,3,8,9",0.6333333333333333,0.7,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286
"0,3,4,6,9",0.6333333333333333,0.6,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286
"1,3,5,8,9",0.6333333333333333,0.7,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286
"3,5,6,8,9",0.6333333333333333,0.7,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286
"3,6,7,8,9",0.6333333333333333,0.8,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286
"0,2,4,6,8",0.6333333333333333,0.7,0.8,0.2857142857142857,0.42105263157894735,0.6116071428571428
"0,3,4,5,8",0.6333333333333333,0.5,0.8,0.2857142857142857,0.42105263157894735,0.6116071428571428
"0,3,4,6,8",0.6333333333333333,0.5,0.8,0.2857142857142857,0.42105263157894735,0.6116071428571428
"0,3,4,8,9",0.6333333333333333,0.6,0.8,0.2857142857142857,0.42105263157894735,0.6116071428571428
"0,4,5,7,8",0.6333333333333333,0.7,0.8,0.2857142857142857,0.42105263157894735,0.6116071428571428
"2,3,4,5,7",0.6,0.7,0.55,0.7857142857142857,0.6470588235294118,0.6116071428571428
"2,3,6,7,9",0.6,0.8,0.55,0.7857142857142857,0.6470588235294118,0.6116071428571428
"3,4,5,6,8",0.6333333333333333,0.6,0.8,0.2857142857142857,0.42105263157894735,0.6116071428571428
"0,2,4,5,7",0.6,0.6,0.5555555555555556,0.7142857142857143,0.625,0.6071428571428572
"2,5,6,7,9",0.6,0.7,0.5555555555555556,0.7142857142857143,0.625,0.6071428571428572
"0,1,3,4,8",0.6333333333333333,0.6,1.0,0.21428571428571427,0.35294117647058826,0.6071428571428571
"0,1,3,6,8",0.6333333333333333,0.6,1.0,0.21428571428571427,0.35294117647058826,0.6071428571428571
"0,1,2,6,7",0.6,0.7,0.5625,0.6428571428571429,0.6,0.6026785714285714
"0,1,2,7,9",0.6,0.8,0.5625,0.6428571428571429,0.6,0.6026785714285714
"0,2,3,6,7",0.6,0.7,0.5625,0.6428571428571429,0.6,0.6026785714285714
"0,2,3,7,9",0.6,0.9,0.5625,0.6428571428571429,0.6,0.6026785714285714
"0,2,5,6,9",0.6,0.6,0.5625,0.6428571428571429,0.6,0.6026785714285714
"1,2,5,7,8",0.6,0.7,0.5625,0.6428571428571429,0.6,0.6026785714285714
"2,3,7,8,9",0.6,0.9,0.5625,0.6428571428571429,0.6,0.6026785714285714
"2,4,5,7,8",0.6,0.6,0.5625,0.6428571428571429,0.6,0.6026785714285714
"0,1,2,3,6",0.6,0.7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5982142857142857
"0,1,3,7,9",0.6,0.9,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5982142857142857
"1,2,4,5,6",0.6,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5982142857142857
"2,5,6,8,9",0.6,0.7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5982142857142857
"4,5,6,7,9",0.6,0.7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5982142857142857
"0,1,2,3,9",0.6,0.8,0.5833333333333334,0.5,0.5384615384615384,0.59375
"0,1,3,6,7",0.6,0.8,0.5833333333333334,0.5,0.5384615384615384,0.59375
"0,4,5,7,9",0.6,0.7,0.5833333333333334,0.5,0.5384615384615384,0.59375
"1,2,3,5,8",0.6,0.7,0.5833333333333334,0.5,0.5384615384615384,0.59375
"2,3,5,8,9",0.6,0.8,0.5833333333333334,0.5,0.5384615384615384,0.59375
"3,4,6,7,9",0.6,0.8,0.5833333333333334,0.5,0.5384615384615384,0.59375
"0,1,3,5,6",0.6,0.7,0.6,0.42857142857142855,0.5,0.5892857142857143
"0,3,6,7,9",0.6,0.7,0.6,0.42857142857142855,0.5,0.5892857142857143
"4,5,7,8,9",0.6,0.7,0.6,0.42857142857142855,0.5,0.5892857142857143
